name,solver,status,run_time,iter,obj_val,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates,rho_estimate
2club200v15p5scn,OSQP,optimal,46.54764699935913,83675,-121.21899393296067,200,17197,104947,0,0.186630616,46.351634774,0.0,4,0.0025887168874172166
30n20b8,OSQP,solver_error,37.47089910507202,100000,1.4579067714792466,10845,11338,73105,0,0.024717222,37.443517064,0.0,55,0.0019174231987976503
academictimetablesmall,OSQP,optimal,5.19121789932251,550,-7.000002130607264,25550,42818,236673,0,0.92478316,4.255748202,0.0,0,0.038273053522611095
adult-max5features,OSQP,solver_error,267.0531678199768,100000,0.08117830261700354,32670,65376,417670,0,0.120224101,266.944894141,0.0,7,73.28552585155232
adult-regularized,OSQP,optimal,0.5928239822387695,150,0.0776874911251489,32670,65375,417634,0,0.115458108,0.4673196,0.0,2,42.1843268952306
allcolor58,OSQP,optimal,1.4576358795166016,150,-7157.895760793327,53792,181232,407684,0,0.324692067,1.128169292,0.0,0,0.09723131429335313
app1-2,OSQP,optimal,24.802606105804443,13550,-258.60494286418856,20122,66274,243877,0,0.039338887,24.77220845,0.0,0,0.1275560900406024
atlanta-ip,OSQP,optimal,90.63629126548767,32275,81.24553801900724,16051,34888,189842,0,0.131302407,90.507433052,0.0,3,0.010284865778809046
bab1,OSQP,optimal,141.2026948928833,37450,-286938.22710103996,5664,12383,102737,0,0.22269669,140.976965784,0.0,2,0.0056102809941081305
bab5,OSQP,optimal,36.25709891319275,27175,-126089.1195587847,21476,26237,115642,0,0.105017399,36.14754949,0.0,1,0.01490771318964135
bab6,OSQP,solver_error,840.7024438381195,100000,-321799.2983432958,98991,121849,794520,0,1.162189747,839.466049486,0.0,1,0.01763903822061167
blp-ar98,OSQP,optimal,25.923183917999268,38175,5891.200957046254,15380,16495,191713,0,0.054533018,25.864064893,0.0,0,0.050849560622862534
blp-ic97,OSQP,optimal,0.6471178531646729,1750,3844.144883740905,8345,9132,99216,0,0.023072854,0.623297102,0.0,0,0.047802164300226546
blp-ic98,OSQP,optimal,12.97245717048645,17800,4330.873170959059,13550,14263,188295,0,0.036226909,12.931018243,0.0,0,0.08383570963043553
bppc6-02,OSQP,optimal,0.303300142288208,50,108.35473510597546,4783,5092,192926,0,0.274200812,0.028284753,0.0,0,0.03520816118384465
bppc6-06,OSQP,optimal,0.12506818771362305,125,200.63274167126502,3921,4194,185431,0,0.068255588,0.054106554,0.0,0,0.008168045276312829
brazil3,OSQP,optimal,1.4056050777435303,1250,-57.00340272126793,13002,16972,83560,0,0.055586978,1.346670318,0.0,0,0.046785597109487154
buildingenergy,OSQP,time_limit,1000.0744268894196,64736,32633.406184315703,142792,408200,972984,0,0.398112682,999.625250075,0.0,43,0.00011629455631602194
cdc7-4-3-2,OSQP,optimal,262.44499468803406,50,-380.9957803706609,11811,26289,271653,0,254.661766394,7.780681005,0.0,0,0.10381536643998797
chromaticindex1024-7,OSQP,optimal,0.6178741455078125,50,3.0000000000009788,73728,141311,344052,0,0.194105271,0.406033524,0.0,0,0.004350797347944418
chromaticindex512-7,OSQP,optimal,0.2794220447540283,50,2.9999999999999587,36864,70655,172020,0,0.089150622,0.182207154,0.0,0,0.0031333545425044104
ci-s4,OSQP,max_iter_reached,5.539010047912598,100000,-35.156625986244435,447,2980,12520,0,0.00518391,5.534680151,0.0,4,1e-06
circ10-3,OSQP,max_iter_reached,476.2702419757843,100000,149.58598287458503,2700,45320,305220,0,0.546030079,475.724866069,0.0,26,0.08908313665330507
cmflsp40-24-10-7,OSQP,solver_error,62.59973931312561,100000,45275055.48553194,12213,14306,122674,0,0.048868628,62.546720605,0.0,1,0.9560785146237899
cmflsp40-36-2-10,OSQP,max_iter_reached,172.44505715370178,100000,47851857.57863499,26889,30341,343285,0,0.179610469,172.256680902,0.0,1,0.5815479349016676
cmflsp50-24-8-8,OSQP,solver_error,80.15175223350525,100000,51141770.34966207,15100,17703,152135,0,0.062853324,80.084337383,0.0,1,0.490057812356495
cmflsp60-36-2-6,OSQP,solver_error,263.9586741924286,100000,51896558.40159464,40378,45561,515530,0,0.27114287,263.674499805,0.0,1,0.6741907386914306
co-100,OSQP,optimal,0.40902280807495117,975,676885.6117711442,5938,6769,82776,0,0.030281263,0.378107666,0.0,1,1.2014264803524772
core2536-691,OSQP,optimal,240.91585779190063,53675,682.4151709636086,15275,17737,174084,0,0.833702663,240.072710234,0.0,3,0.00405130171591867
core2586-950,OSQP,optimal,41.1155469417572,12725,858.9513855545915,12869,15280,99554,0,0.495603024,40.613045836,0.0,3,0.002434799668449633
core4284-1064,OSQP,optimal,93.44579815864563,6825,1033.0940267837016,21638,25761,239164,0,4.707257527,88.719127259,0.0,1,0.0037258866962802963
core4872-1529,OSQP,optimal,480.9622530937195,54550,1391.6063723319714,23901,28443,206299,0,2.290505555,478.711426973,0.0,4,0.0011601367323590952
cryptanalysiskb128n5obj16,OSQP,optimal,0.41091036796569824,50,0.0,33549,102061,279047,0,0.150556145,0.256874167,0.0,1,1e-06
d20200,OSQP,optimal,16.781344652175903,1500,12229.708570020017,3181,4683,172896,0,2.464143531,14.316288334,0.0,1,0.014671639480496162
dc1c,OSQP,max_iter_reached,79.47718930244446,100000,-104079942929.52245,8789,9598,78805,0,0.046212713,79.429532109,0.0,4,1e-06
dc1l,OSQP,optimal,56.16922187805176,19750,61901068.23645175,33860,34931,346555,0,0.360575021,55.796028572,0.0,1,0.21961655616176373
dolom1,OSQP,max_iter_reached,105.78201913833618,100000,-149773025396.35812,10080,11147,128081,0,0.09733972,105.683661281,0.0,4,1e-06
ds,OSQP,optimal,3.5460147857666016,350,-5361.447623310509,67076,67730,1089663,0,1.847422943,1.691516835,0.0,0,0.21162412196826794
