name,solver,status,run_time,iter,obj_val,n,m,N,status_val,scale_updates,scale,pobj,dobj,res_pri,res_dual,gap,res_infeas,res_unbdd_a,res_unbdd_p,comp_slack,solve_time,setup_time,lin_sys_time,cone_time,accel_time,rejected_accel_steps,accepted_accel_steps
2club200v15p5scn,SCS_AA2,optimal,5.575512170791626,5875,-121.22214697735153,200,17197,104947,1,0,0.1,-121.22214697735153,-121.22213385406668,0.0005810430049578905,0.0001929906429722119,1.3123284840024701e-05,,0.008249319446585029,0.0,1.9358270542113587e-10,5354.123274,217.953223,3943.3212089999834,504.2551129999999,331.82712799999376,11,576
30n20b8,SCS_AA2,optimal,4.6605329513549805,6525,1.050363902225285,10845,11338,73105,1,1,0.31649249771619387,1.050363902225285,1.0505644235127374,0.003255514821421647,0.0022898220675632024,0.00020052128745212124,95.18692786644698,,,6.188380363703061e-11,4610.619564,45.989979,2881.0608229999925,596.5443249999984,440.55613399995804,15,637
academictimetablesmall,SCS_AA2,optimal,4.899618148803711,275,-6.999877429143368,25550,42818,236673,1,2,7.218788244482157,-6.999877429143368,-7.000571709791308,0.0016126620015560055,0.005364775207014721,0.0006942806479409317,,3.0000525313479467,0.0,1.1564225133042783e-09,3876.124881,1007.997667,1951.0874859999997,75.84764900000003,24.730133,0,27
adult-max5features,SCS_AA2,optimal,166.66736888885498,34075,0.08114495105684032,32670,65376,417670,1,2,1.0318536620392262,0.08114495105684032,0.0812258306651549,7.866628102012371e-05,0.00011294800300645696,8.087960831458318e-05,12.312003000207778,,,9.416890878188866e-12,166417.340086,236.785571,106147.29904599921,34751.68844000003,5113.540679999363,273,3134
adult-regularized,SCS_AA2,optimal,1.8055410385131836,350,0.0777035856985914,32670,65375,417634,1,3,85.29440909461681,0.0777035856985914,0.0776854871976525,6.2186391098667e-07,6.35752052439519e-05,1.8098500938886236e-05,4191.387757813267,,,9.293661391678032e-11,1561.882791,229.76191,1009.9271500000001,229.59209199999992,37.79335799999996,0,34
allcolor58,SCS_AA2,optimal,3.618786096572876,275,-7158.006534390745,53792,181232,407684,1,1,0.3340624441784982,-7158.006534390745,-7158.000784263989,0.0001837410467613577,4.2016642426018557e-05,0.005750126756268785,,0.0008382222021479314,0.0,8.921233529690653e-09,2995.773087,588.73993,1877.2463010000006,411.9772849999999,136.9085990000004,0,27
app1-2,SCS_AA2,optimal,30.398010730743408,10475,-258.60078131846785,20122,66274,243877,1,2,1.924252129642796,-258.60078131846785,-258.6007752910592,6.86602552225998e-05,0.00015693655086978362,6.027408642911376e-06,,0.00386696428299797,0.0,1.5223378113660146e-11,30289.910527,97.870798,19739.973810000007,3957.057597999988,1721.1386099999575,65,982
atlanta-ip,SCS_AA2,optimal,107.07795095443726,26125,81.23407401870178,16051,34888,189842,1,0,0.1,81.23407401870178,81.23459891789079,0.0032102101225905738,0.000969871233931858,0.0005248991890167282,0.11079694076411467,,,2.3903273403593633e-11,106893.299744,175.951887,81476.1372070005,12609.339643000001,5094.168388999986,5,2607
bab1,SCS_AA2,optimal,83.67098307609558,18950,-286924.2814116002,5664,12383,102737,1,3,14.186989978630406,-286924.2814116002,-286924.1084545435,0.0046014940715970246,0.07821547831871992,0.1729570567030483,,3.4852392734821686e-06,0.0,3.4792190239940624e-09,83343.733816,320.946929,77809.81139099957,1665.2853130000071,1112.0149060000203,39,1855
bab5,SCS_AA2,optimal,70.38970184326172,34175,-126099.81932981536,21476,26237,115642,1,2,12.989248459951073,-126099.81932981536,-126099.18549076335,0.0020805543922081922,0.362222886994725,0.6338390520098954,,7.930225611953043e-06,0.0,5.666150881822318e-11,70261.732341,122.226649,51846.94086799963,7891.242427999999,2117.288247999934,284,3133
bab6,SCS_AA2,optimal,287.56500911712646,22450,-322063.7121863445,98991,121849,794520,1,3,13.942913717308388,-322063.7121863445,-322050.79309353925,0.00702698531044604,0.34197843611588963,12.919092805266178,,3.10497623620815e-06,0.0,3.257127900724299e-11,286017.244595,1498.132761,215417.06492600037,28388.499807000004,8174.983123000234,186,2058
blp-ar98,SCS_AA2,optimal,4.531224012374878,3675,5891.170038705087,15380,16495,191713,1,4,65.53778704079737,5891.170038705087,5891.200900889294,0.0007615689900910837,0.10147933186613443,0.030862184207380437,0.17777441650499767,,,3.012701199622825e-10,4432.627573,90.289663,3147.8825519999955,401.610900999999,246.80522200000533,16,351
blp-ic97,SCS_AA2,optimal,1.3048171997070312,1850,3846.477909596076,8345,9132,99216,1,2,2.402260811651399,3846.477909596076,3846.390808244389,0.0021866348353600574,0.09130188431324976,0.08710135168712786,0.24880691643621494,,,1.1674160305119585e-08,1248.301524,48.587519,876.2253339999988,124.6958299999999,69.01801899999971,8,176
blp-ic98,SCS_AA2,optimal,6.117074012756348,5050,4331.023117040575,13550,14263,188295,1,2,4.406873929818309,4331.023117040575,4331.163774521995,0.003219518748685268,0.12610694101738862,0.1406574814193765,0.4555711570783284,,,7.334165275096893e-09,6002.237997,108.581789,4270.321698000004,497.63459300000073,414.0355899999681,16,488
bppc6-02,SCS_AA2,optimal,0.32695698738098145,75,108.33999910109685,4783,5092,192926,1,0,0.1,108.33999910109685,108.34000184677578,0.0028813769432084967,2.388434094495396e-05,2.7456789291081982e-06,0.009230201358411036,,,0.0,53.809537,267.885987,43.133911999999995,2.84879,1.3088889999999995,0,7
bppc6-06,SCS_AA2,optimal,0.15072202682495117,75,200.63334625457227,3921,4194,185431,1,0,0.1,200.63334625457227,200.63334619327756,0.011321320301069325,4.6249877510670814e-05,6.12947364869761e-08,0.004984216608418458,,,0.0,47.309378,97.663775,38.522586,2.443072999999999,0.5733179999999994,0,7
brazil3,SCS_AA2,optimal,2.640597105026245,1475,-56.99708510422717,13002,16972,83560,1,1,0.31913367825348626,-56.99708510422717,-56.99939425887646,0.000524226882980094,0.00021014707995275928,0.0023091546492883036,,0.2631713730702375,0.0,5.775291356258094e-11,2563.081924,73.634884,2040.8930179999984,162.566756,105.61753100000118,5,142
buildingenergy,SCS_AA2,max_iter_reached,1001.0554628372192,35025,32776.041164997514,142792,408200,972984,2,2,0.004566971750831227,32776.041164997514,32613.240886012823,3.7623108553149858,7.207553919979996,6.93392568649604e-310,0.20237179196659452,,,8.515851081376959e-15,1000150.505956,824.366747,586315.760478999,156932.43840700036,85534.99757099304,36,3466
cdc7-4-3-2,SCS_AA2,optimal,312.7706050872803,100,-381.00059178781237,11811,26289,271653,1,0,0.1,-381.00059178781237,-380.9997032617945,1.5500122651681222e-06,7.788404630673032e-07,0.0008885260178773585,,0.002624671907515535,0.0,5.276127978959266e-09,17271.352733,295358.96701,17051.053394000006,16.272308000000002,7.753700999999991,0,9
chromaticindex1024-7,SCS_AA2,optimal,1.0301029682159424,50,2.999999999999989,73728,141311,344052,1,0,0.1,2.999999999999989,3.0000000004721223,4.389659401867017e-15,4.239204412918949e-12,4.72133590146195e-10,0.3333333332802624,,,0.0,618.538774,386.537614,441.48529300000007,48.112254000000014,26.34802100000001,0,4
chromaticindex512-7,SCS_AA2,optimal,0.4557960033416748,25,3.0000000629769437,36864,70655,172020,1,0,0.1,3.0000000629769437,2.9997588214718154,2.717424768918016e-08,4.731820500848548e-08,0.00024124150512829006,0.3333601286516588,,,0.0,275.207964,166.634403,195.378211,21.44079,9.517974000000002,0,2
ci-s4,SCS_AA2,max_iter_reached,10.675542116165161,100000,-4053.3675390547555,447,2980,12520,2,4,1e-06,-4053.3675390547555,-4053.430301795174,11225.856001480493,0.03204014115348575,6.93392568649604e-310,,2.7695134707913414,0.0,3.20486254309236e-20,10664.792265,9.863028,6950.460121999988,1274.716979999994,832.0038230006235,340,9659
circ10-3,SCS_AA2,optimal,73.94555425643921,12425,139.99835356553658,2700,45320,305220,1,0,0.1,139.99835356553658,139.99894582387094,0.00016700726975130657,0.00020751779424987377,0.0005922583343762944,0.035714852688395436,,,1.4915713109076023e-10,73133.369879,797.607347,63424.059124000065,3692.7668309999917,2315.4037120000567,1,1241
cmflsp40-24-10-7,SCS_AA2,optimal,6.885063886642456,6700,46094798.90096908,12213,14306,122674,1,2,144.29869977182392,46094798.90096908,46098073.92872464,0.10857972517153322,482.6572131446383,3275.027755559081,0.19818798362384407,,,1.8049468053504825e-07,6800.052036,79.92009,4904.840818999979,809.4697279999999,226.38888000001197,52,617
cmflsp40-36-2-10,SCS_AA2,optimal,3.9903080463409424,1425,58495736.854108974,26889,30341,343285,1,2,764.0077229844566,58495736.854108974,58500433.62381222,0.11708931781599032,2935.4198467947563,4696.769703242803,0.5428920667393676,,,4.266214091330767e-06,3753.066417,224.061829,2813.853417999998,370.3419600000004,97.33936400000113,11,131
cmflsp50-24-8-8,SCS_AA2,optimal,2.3673088550567627,1750,51373801.20885112,15100,17703,152135,1,2,114.7251579230032,51373801.20885112,51377598.70009604,0.14604804849030664,827.2565302201104,3797.4912449200096,0.21572493334344844,,,2.785782271530479e-06,2268.230856,94.128369,1657.6420179999961,245.5043010000001,68.84641399999946,12,162
cmflsp60-36-2-6,SCS_AA2,optimal,4.679302930831909,1050,66282728.808014244,40378,45561,515530,1,2,437.3365528044118,66282728.808014244,66283971.18718185,0.10553800023549949,2334.1763428527843,1242.3791676105902,0.35364509041876596,,,1.9336119277137435e-05,4291.76932,369.009221,3206.1988080000033,415.6540349999997,119.19542100000045,7,97
co-100,SCS_AA2,optimal,1.0561201572418213,1750,914921.5333333089,5938,6769,82776,1,2,367.8123284943992,914921.5333333089,914990.4840890463,0.08549899457122209,288.77185578908126,68.95075573732746,9.15096075621222,,,2.0681434078977882e-07,1001.503625,50.996784,790.8587290000011,66.89737800000005,25.120040000000063,12,162
core2536-691,SCS_AA2,optimal,37.74566102027893,6350,682.3690849658018,15275,17737,174084,1,3,0.03724092394610516,682.3690849658018,682.3692331591803,0.013391071457674259,0.0002852119668287091,0.00014819337855544548,0.002931382475593254,,,3.507732326823998e-08,36711.830456,1025.63175,30572.51904100002,1686.0656969999948,701.9637769999798,6,628
core2586-950,SCS_AA2,optimal,3.224148988723755,425,858.8577982944396,12869,15280,99554,1,3,0.03146604128975994,858.8577982944396,858.8587100068049,0.015551397080344592,0.00014859431758014908,0.0009117123653832874,0.0023288239772186717,,,2.3908322210886013e-08,2735.926646,483.285885,1407.8822309999998,79.11405699999999,13.128421000000008,0,42
core4284-1064,SCS_AA2,optimal,123.39866924285889,6900,1032.3651615175447,21638,25761,239164,1,3,0.038591725809311896,1032.3651615175447,1032.3672091395115,0.03543543583137668,0.00026539584731225045,0.002047621966947243,0.0019373715338828138,,,7.3215948859228774e-09,117111.624508,6266.735902,93989.10055799948,2309.9162500000007,1155.2060409999906,4,685
core4872-1529,SCS_AA2,optimal,18.38703489303589,925,1389.9978291228808,23901,28443,206299,1,3,0.03572634545089261,1389.9978291228808,1389.9985477839793,0.044415748855466265,0.00016038649756292182,0.0007186610985269896,0.001438944088318516,,,5.554601045787422e-08,15824.031419,2549.131453,8528.456639999995,352.2579199999996,126.09170300000076,0,92
